-32.86755749862909,-85.70249870647322,7.049993686010907,-47.600442883273224|9906
-69.04718526094783,-75.79426616340703,-24.392151660947825,-56.15926616340703|9954
-39.012139459713275,-59.820827963652974,-0.024139459713275357,-42.09982796365297|9954
-42.225714582442386,-13.509290715113643,-32.68873858244238,-9.085466265113642|9964
-50.50913223965345,-13.704390773724969,-41.72513223965345,-9.954390773724969|9904
-73.42887283267007,-74.8305044234177,-30.82292083267007,-56.027394823417694|9934
-147.72641409955142,-55.673519482272276,-115.12847889955142,-40.38908108227228|9998
-41.28082066133266,-62.610099260177385,-1.1958538613326581,-44.159814260177384|9976
-169.68728037248408,-13.285002008772041,-154.4922803724841,-6.245502008772041|9966
-85.06002415455181,-83.72973685731087,135.52632112299057,-70.59253952013174|9952
-124.99142069214022,-60.05878627332266,-92.64636389214023,-44.88178627332266|9996
-148.31717211466173,-12.727702723424764,-132.53148828298174,-6.921732349784765|9998
-75.00880276878546,-15.13696796656446,-65.36230276878545,-11.05846796656446|9916
-6.038311083652966,-37.010880520077734,10.596688916347036,-25.607098720077733|9910
-30.674232908029776,-77.18625293796859,41.92185633037023,-53.29536852115176|9978
-15.384100760349748,-4.673350914915973,7.721749201250253,-1.966790911215973|10000
-157.20543643248234,-70.14424984023555,-116.67673003248234,-54.10924984023555|9992
-108.72205186383785,-84.15676548732293,-68.96262848703785,-58.94399496828293|9984
-26.875940812039797,-59.63919273925465,14.913065587960201,-41.59064313925465|9992
-91.70095255148127,-36.3447294607029,-71.88813461324126,-27.225584480459702|9976
-15.749018354986308,-44.86212687463222,2.1258370530136936,-26.63119767463222|9982
-80.68521344266777,-65.75283384684283,-52.383213442667774,-50.90583384684283|9936
-61.043993293230855,-1.7912272651490924,-51.76649329323085,2.315772734850908|9936
-174.92698522692015,-88.69004223480071,-89.71055882727855,-67.45872333198442|9908
-46.79595425535169,-54.67762471878211,-16.79595425535169,-39.67762471878211|9986
85.98291044374496,72.26467468884609,102.85791044374496,80.70217468884609|9954
-116.81543935905432,-56.26513412555905,-83.44943935905432,-40.86313412555905|9944
-85.09757758086432,-30.375433169110412,-70.09757758086432,-23.080933169110413|9968
-149.6292913946707,-63.5899210337578,-112.4901049946707,-47.90892103375779|10000
-51.95881868490691,-79.97667280663883,37.060558115093095,-60.05216621335883|9996
-39.96827200594144,-86.70197453623128,-1.8208808963963747,-48.33090617490814|9956
-6.052703789316844,-21.458228651298423,10.831296210683156,-15.718082651298424|9940
-63.55759904735721,-35.17547073857947,-53.28709904735721,-30.86972073857947|9978
-104.44413546158157,-6.142251705072984,-88.43913546158157,3.9474646949270165|9978
-46.17682972737809,-53.66543818540943,-18.288829727378094,-38.66543818540943|9974
-97.6690339401677,-66.978880649597,-67.3030339401677,-51.981880649597|9998
-56.08969883485818,-26.936659719121476,-47.09307203485818,-22.945760919121476|9934
-113.258086807411,-53.06767824381861,-81.68256960741101,-38.336808843818616|9996
-97.77754722410015,-36.097637312682245,-75.6185085155847,-25.205810260142805|9948
-5.936695679859918,-35.12364542169786,10.263304320140081,-24.479851221697857|9998
-151.1992923254738,-70.23328466449163,-110.5266363254738,-54.00328466449163|9966
-165.70202066652485,-21.576944421302326,-150.53116524456485,-13.660029472592013|9998
-112.31712021074279,-85.98435944490393,75.31524485588224,-70.57307658200678|9996
-113.97998976126765,-66.87021584182342,-80.07998976126765,-51.87021584182342|9994
-25.72876297478224,-44.78013975790429,-2.875638974782241,-29.405139757904287|9964
-3.993735531777425,-56.856126563396906,38.59964646822258,-37.494126563396904|9974
-46.19736522941178,-36.02113136147027,-31.320365229411777,-25.565789361470266|9996
-112.25297267041564,-64.98969091391066,-79.13959667041564,-50.016686113910666|10000
-151.97508035666854,-46.60106778788815,-124.38108035666855,-31.385067787888147|9962
-138.56773398817953,-84.34118503944248,-91.16689518817952,-60.93818503944248|10000
-22.954753286449833,-63.87736866822535,21.623229333550167,-43.053038967305355|9998
-125.7977243283415,-70.71928605268471,-89.5522451283415,-55.164624452684706|9996
-51.48427158495814,-29.4401005722141,-8.63770753816005,-26.488770713137963|9998
-25.28421351565417,-55.910749423752826,11.347792884345825,-39.35954782375283|9974
-153.68678560834158,-75.20049649931319,-110.24079280834158,-57.104496499313186|9986
-128.07896600074346,-81.26539559575504,-88.38777280810345,-58.62955876375504|9998
-79.7966495123831,-34.11230371736909,-63.7826495123831,-28.630043717369087|9934
-12.27338120397823,-4.313021883876489,13.28733519602177,-2.18182333989649|9974
-44.25571158842142,-2.5144032444920503,-35.11321158842142,1.3420967555079497|9956
-41.984909061145686,-73.6861232254008,102.97474323588597,-61.11427660096868|9980
-112.94566284918731,-87.40379385082987,10.60660279907323,-67.66627280360275|9936
-22.98480786922321,-33.445790373768794,-6.553975869223212,-21.988259620008794|10000
-46.7510493579294,-27.657557736766602,-13.989458157929406,-23.927788371766603|9928
-89.92133097043718,-88.75710689648048,-17.965042472328477,-63.56139320534566|9908
-63.55558009814735,-15.629789064597153,-53.39158009814735,-11.557289064597153|9944
-13.906162111577416,-58.241600204135395,31.096249888422584,-38.939600204135395|9918
-168.99272441761005,-29.48220926495884,-153.65672441761004,-19.58370926495884|9964
-150.99340810396578,-42.5053499518289,-127.04615316503538,-26.921319981308898|10000
-7.393882428882776,-21.66063563905871,9.095514371117222,-15.490868815698711|9988
-116.25560061371924,-66.25372903553269,-83.28321501371923,-50.842729035532685|9992
-125.84221787245693,-10.817236551257253,-124.50302729584186,48.35885010279094|9954
-135.03841502126372,-39.918408411567206,-114.52005662126372,-22.473408411567206|9952
-25.621943398156997,-46.33995120780055,1.4200566018430045,-31.339951207800553|9916
-123.51491500240934,-87.04626006867323,21.05939640751069,-68.88185364964322|9934
-27.90099556365608,-65.20167525220947,17.96548113842392,-44.566730852209474|9982
-121.7535298742624,-54.663656712025166,-88.48952987426239,-39.76565671202516|9992
-88.16682653381994,-84.36683308213746,90.48062851425175,-69.40234030615333|9996
-168.72890313119885,-88.01544960309536,-69.73463746463884,-68.13513306957536|9988
-3.821912288050735,-10.11937116002418,41.76966246732654,-8.997530512503925|9992
-58.431664026628084,-19.051855615725735,-48.74166402662809,-15.244855615725735|9966
-58.384910729604066,-52.27646587612134,-44.54803712960407,-36.66746587612134|9974
-147.8888659750019,-20.290055833148116,-133.2878659750019,-11.955193633148117|9994
-75.41725374446696,-76.38570394617555,-30.304429744466965,-56.998995946175555|9998
